% vernikTable2.dat
% 
%  Bakken shales, Williston Basin, (Vernik & Nur, table 2)
%
%  Core ultrasonic measurements:	Missing values filled with -1
%
%                      Vp (km/s)		Vsh(km/s)		Vsv(km/s)
% Depth(Ft)	0      45	 90		0	45	90		0	45	90
7570		3.13 -1     3.94 	1.88 -1	2.30 	1.87 -1	1.87
8630		3.32 3.82 3.93 	2.03 2.35 2.31 	2.2 	2.26 2.05
8634 		3.02 3.44 4.14 	1.76 2.09 2.50 	1.76 1.99 1.79
9831 		3.41 3.73 4.16 	2.07 2.51 2.31 	2.07 2.18 2.02
10164 		3.38 3.66 4.19 	2.12 2.35 2.57 	2.12 2.22 2.12
10487 		3.18 -1	4.20 	1.94 -1   2.51 	        1.93 -1	1.92
10495 		3.62 -1	4.36 	2.22 -1   2.63 		2.22 -1	2.24
10575 		3.36 -1	4.48 	2.06 -1   2.55 		2.05 -1	2.05
10732 		4.03 4.33 4.61 	2.51 2.61 2.71 	2.50 2.62 2.16
10733 		3.46 3.86 4.49 	2.00 2.33 2.62 	1.99 2.13 2.02
10734 		3.51 3.93 4.42 	2.03 2.47 2.75 	2.02 2.33 2.01
10931 		3.29 3.96 4.67 	1.86 2.30 2.74 	1.86 2.12 1.84
10932 		3.67 -1    4.68      	2.12 -1    2.75		2.12 -1    2.33
11230 		4.21 4.46 4.97 	2.52 2.66 2.91 	2.53 2.59 2.56
11246 		3.72 3.94 4.36 	2.25 2.41 2.59 	2.25 2.37 2.16
11280 		3.85 4.26 4.76 	2.40 2.59 2.79 	2.42 2.52 2.39
